Name,الأسم,Type,نوع التصنيف,Subtype,نوع التصنيف الفرعي,Block,X Longitude,Y Latitude,Location
AMBATTUR CLOTHING INTERNATIONAL COMPANY,شركة امبتور الدولية للملابس الجاهزة,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,634.0,50.61066126,26.13323167,"26.13323167, 50.61066126"
AHMED RASHID AL JALAHMA & BROTHERS COMPANY,شركة أحمد راشد الجلاهمة وأخوانه,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,634.0,50.60896295,26.12749099,"26.12749099, 50.60896295"
BAHRAIN STEEL FACTORY,مصنع البحرين للحديد المطاوع,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,634.0,50.60928497,26.13187489,"26.13187489, 50.60928497"
AL ZAMIL ALUMINIUM FACTORY,مصنع الزامل للألمنيوم,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,634.0,50.60861939,26.12565616,"26.12565616, 50.60861939"
AL MANNAI MEATAL FABRICATION FACTORY,مصنع المناعي لتشكيل المعادن,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,634.0,50.60770489,26.13378822,"26.13378822, 50.60770489"
BAPCO OIL REFINERY,مصنع بابكو للتكرير,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,636.0,50.59991549,26.11706697,"26.11706697, 50.59991549"
BAHRAIN PIPES FACTORY,مصنع مواسير البحرين,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,702.0,50.53539932,26.18978845,"26.18978845, 50.53539932"
KINGDOM DETERGENTS FACTORY,مصنع المملكة للتنظيفات,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,704.0,50.53288509,26.18142857,"26.18142857, 50.53288509"
PERLO ALUMINUM,بيرلو ألمنيوم,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,711.0,50.56383657,26.20228943,"26.20228943, 50.56383657"
COCA COLA BOTTLING COMPANY,شركة تعبئة كوكا كولا,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,744.0,50.50737488,26.17493347,"26.17493347, 50.50737488"
AL JAZEERAH TENTS FACTORY,مصنع الجزيرة للخيام,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,948.0,50.59319816,26.09508046,"26.09508046, 50.59319816"
UNIVERSAL ALUMINIUM COMPANY,الشركة العالمية للألمنيوم,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,949.0,50.59182514,26.11712209,"26.11712209, 50.59182514"
NATIONAL STAINED GLASS,الوطنية للزجاج الملون,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,949.0,50.59165018,26.11755414,"26.11755414, 50.59165018"
AL MOHSEN FURNITURE FACTORY,مصنع المحسن للأثاث,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,949.0,50.59057955,26.11746748,"26.11746748, 50.59057955"
ALAA FOR INDUSTRY - AFI,آلاء للصناعة,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,951.0,50.60435441,26.07801201,"26.07801201, 50.60435441"
YATEEM OXYGEN COMPANY,شركة مصنع يتيم للأكسجين,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,951.0,50.60967673,26.0801098,"26.0801098, 50.60967673"
ABDULLAH AHMED NASS - IRON AND STEEL STRUCTURE,عبدالله أحمد ناس - صناعة الحديد والستيل,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,951.0,50.61013756,26.07920494,"26.07920494, 50.61013756"
AL HASNAA FACTORY,مصنع الحسناء,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,951.0,50.60992434,26.07572176,"26.07572176, 50.60992434"
AWAL FIBRE GLASS FACTORY,مصنع أوال للفيبر جلاس,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,951.0,50.60237277,26.0735928,"26.0735928, 50.60237277"
DELMON MARBLE CUTTING FACTORY,مصنع دلمون لتقطيع وتلميع الرخام,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,951.0,50.59364764,26.06969248,"26.06969248, 50.59364764"
AHMED ISA BLOCK FACTORY,مصنع أحمد عيسى للطابوق,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,952.0,50.62825873,26.08179943,"26.08179943, 50.62825873"
DREAM READYMIX,دريم للخرسانة المخلوطة,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,954.0,50.62228547,26.07528361,"26.07528361, 50.62228547"
BRAMCO,برامكو,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,955.0,50.58206413,26.03800139,"26.03800139, 50.58206413"
TATWEER PETROLEUM COMPANY - BAHRAIN PETROLEUM FIELD,شركة تطوير للبترول - حقل البحرين,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,983.0,50.55384656,26.02683635,"26.02683635, 50.55384656"
HIDD INDUSTRIAL AREA,منطقة الحد الصناعية,INDUSTRIES,الصناعات,INDUSTRIAL AREAS,المناطق الصناعية,116.0,50.65616746,26.20994364,"26.20994364, 50.65616746"
ARAD INDUSTRIAL AREA,منطقة عراد الصناعية,INDUSTRIES,الصناعات,INDUSTRIAL AREAS,المناطق الصناعية,243.0,50.64546814,26.25737253,"26.25737253, 50.64546814"
MINA SALMAN INDUSTRIAL AREA,منطقة ميناء سلمان الصناعية,INDUSTRIES,الصناعات,INDUSTRIAL AREAS,المناطق الصناعية,343.0,50.59937656,26.19755661,"26.19755661, 50.59937656"
NORTH REFINERY INDUSTRIAL AREA,منطقة مصفاة الشمال الصناعية,INDUSTRIES,الصناعات,INDUSTRIAL AREAS,المناطق الصناعية,635.0,50.59823985,26.12492793,"26.12492793, 50.59823985"
ARABIAN SUGAR COMPANY - ASC,الشركة العربية للسكر,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,115.0,50.68234304,26.21637391,"26.21637391, 50.68234304"
AL MASKATI BROTHERS AND COMPANY,المسقطي إخوان وشركاهم,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,115.0,50.66672769,26.21697324,"26.21697324, 50.66672769"
AIRTECH,إيرتك,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,115.0,50.66140224,26.21590428,"26.21590428, 50.66140224"
SPRUNG INSTANT STRUCTURES,سبرانغ انستنت ستراكتشرز,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,115.0,50.68695095,26.22233767,"26.22233767, 50.68695095"
